467.426,1269.76
730.052,460.198
749.327,428.875
1007.134,1450.466
983.04,1467.332
192.753,1156.518
1614.306,1052.913
1002.315,1498.654
1537.205,1505.882
1267.351,787.878
289.129,686.682
272.264,701.139
792.696,1209.525
269.854,722.824
585.487,1525.158
544.527,1546.842
725.233,484.292
877.026,580.668
797.515,510.795
797.515,520.433
766.193,501.158
795.106,869.798
787.878,864.979
925.214,766.193
983.04,1590.212
1125.195,1197.478
1399.868,575.849
1423.962,616.809
1105.92,1197.478
1002.315,1556.48
1221.572,1472.151
1057.732,1539.614
1395.049,1334.814
1144.471,1197.478
1317.948,1315.539
1308.311,1315.539
1587.802,339.727
278.901,1047.504
1621.534,412.009
1864.885,652.951
346.955,1395.049
289.129,1368.546
289.129,1373.365
303.586,1329.995
1544.433,1515.52
1676.951,1635.991
1623.944,1802.24
1626.353,1804.649
1698.635,1681.769
1609.487,1513.111
1679.36,1635.991
1698.635,1686.588
1621.534,1811.878
1674.541,1611.896
1616.715,1638.4
1457.694,1701.045
1570.936,1281.807
1626.353,1317.948
1402.278,1423.962
893.892,1214.344
954.127,1281.807
963.765,1296.264
983.04,1289.035
958.946,1267.351
958.946,1252.894
958.946,1260.122
826.428,279.492
537.299,708.367
1371,397
1371,399
1215,229
1347,236
638,737
625,855
1145,1846
807,426
1343,955
1016,1716
634,752
1291,900
1860,506
1841,509
493,1423
508,1719
492,1722
843,1869
859,1776
774,473
770,473
1224,1852
1236,1786
1241,1793
1435,1671
1063,1713
990,294
1707,1345
1708,1342
1684,1340
1700,815
1738,732
1208,1761
1679,816
485,1257
456,1298
842,1530
714,1476
723,1312
680,1303
692,1244
1496,1159
1644,1003
1539,1410
1516,1407
1707,1437
1726,1435
556,1361
1875,366
925,618
1400,525
463,1212
445,1230
562,1236
532,1159
423,1208
557,1216
456,1154
495,1208
584,1585
578,1060
549,1567
799,1317
1550,1095
1561,1044
1579,1113
1548,1074
1668,1058
1572,1024
1506,1042
758,467
1462,523
261,715
1065,608
1403,528
524,666
1425,615
1224,1486
312,743
265,757
1450,573
1024,1716
1006,1565
1146,1848
1170,1788
1177,1778
1409,529
1503,554
1503,545
1468,525
1233,1437
1250,709
1045,456
1212,846
926,1588
1317,855
1298,796
1748,1747
919,1125
931,1511
934,1522
928,1524
920,1128
1188,1787
1170,767
799,1252
619,997
1282,951
696,1023
800,1213
939,1594
790,1168
1272,791
1284,894
1016,1199
796,674
1130,181
616,1019
1355,890
1075,119
536,1034
911,1131
1234,1798
1539,1402
1501,321
1143,414
1117,1443
1488,606
1500,613
1049,1326
1420,880
1248,785
517,1247
310,1441
945,1469
809,431
270,1238
705,641
790,1172
940,1469
1053,346
405,789
902,140
1210,516
586,1553
925,140
532,1564
981,1465
670,1607
525,1536
979,1762
566,1258
837,1866
902,146
285,1048
